link_id,a,b,aadt,length,speed,ftype,lanes,capacity
3480_7154,3480,7154,1399.7,0.18021,15.19936,4,1,748
3480_9685,3480,9685,1131.3,0.16345,15.19936,4,1,748
3480_11905,3480,11905,1271.4,0.16525,11.62304,5,1,525
3481_3479,3481,3479,7323.3,0.22558,15.19936,4,1,748
3481_3484,3481,3484,4265.4,0.08327,15.19936,4,1,748
3481_3499,3481,3499,4665.5,0.1976,11.62304,5,1,525
3481_3584,3481,3584,2656.6,0.44802,11.62304,5,1,525
3482_3436,3482,3436,4226.8,0.26374,14.30528,2,1,919.6
3482_4008,3482,4008,4770.3,0.14367,14.30528,2,1,919.6
3482_9039,3482,9039,2640.5,0.05019,13.4112,3,1,849.3
3482_9040,3482,9040,2956.9,0.03473,13.4112,3,1,849.3
3483_3454,3483,3454,2350.7,0.47043,10.28192,5,1,498.75
3483_3584,3483,3584,3225.4,0.44863,10.28192,5,1,498.75
3484_3481,3484,3481,4227.3,0.08327,15.19936,4,1,748
3484_3487,3484,3487,2287.8,0.24983,15.19936,4,1,748
3484_3499,3484,3499,7146.2,0.21385,16.98752,2,2,1858
3484_5761,3484,5761,9564.7,0.48916,16.98752,2,2,1858
3485_7288,3485,7288,555.4,0.0563,11.62304,42,1,983
3486_3463,3486,3463,3840.9,0.51454,16.98752,2,2,1858
3486_3596,3486,3596,8278.7,0.05223,16.98752,2,2,1858
3486_3607,3486,3607,3498.8,0.06696,15.19936,4,1,748
3487_3484,3487,3484,2480.9,0.24983,15.19936,4,1,748
3487_7274,3487,7274,4344.5,0.19235,15.6464,3,1,894
3487_8983,3487,8983,6052.5,0.49929,15.6464,3,1,894
3488_3626,3488,3626,7248.8,0.07497,15.6464,3,1,894
3488_3668,3488,3668,1689.3,0.23675,15.19936,4,1,748
3488_8983,3488,8983,6962.2,0.12445,15.6464,3,1,894
3489_3490,3489,3490,3677.9,0.27746,15.6464,3,1,894
3489_4197,3489,4197,4057,0.14789,15.6464,3,1,894
3490_3489,3490,3489,4263,0.27746,15.6464,3,1,894
3490_8498,3490,8498,4894.9,0.04689,15.6464,3,1,894
3490_8953,3490,8953,4406.2,0.03014,15.19936,4,1,748
3491_3690,3491,3690,372.4,0.28336,11.62304,5,1,525
3491_6755,3491,6755,352.8,0.41944,11.62304,5,1,525
3493_3494,3493,3494,18076.80078,0.2356,16.98752,2,2,1858
3493_3609,3493,3609,7644.5,0.15221,16.98752,2,2,1858
3493_4448,3493,4448,1060.4,0.19658,10.28192,41,1,1200
3494_3493,3494,3493,7685.3,0.2356,16.98752,2,2,1858
3494_3495,3494,3495,18049,0.27904,16.98752,2,2,1858
3494_4457,3494,4457,12010.5,0.09395,10.28192,41,1,1200
3495_3476,3495,3476,17383.80078,0.19786,16.98752,2,2,1858
3495_3494,3495,3494,18679.90039,0.27904,16.98752,2,2,1858
3496_4540,3496,4540,14707.2,0.2174,17.836896,2,2,2230
3497_3513,3497,3513,5061.9,0.07582,11.62304,42,1,983
3498_3499,3498,3499,11851.6,0.12606,16.98752,2,2,1858
3498_7275,3498,7275,21005.5,0.23085,17.836896,2,2,2230
3498_9045,3498,9045,10134.1,0.02866,15.19936,4,1,748
3499_3481,3499,3481,4150.7,0.1976,11.62304,5,1,525
3499_3484,3499,3484,7701.2,0.21385,16.98752,2,2,1858
3499_3498,3499,3498,11811.6,0.12606,16.98752,2,2,1858
3500_3594,3500,3594,1293.3,0.15286,13.4112,3,1,849.3
