n,x,y
794,413243,4509570
795,414238,4509567
796,415853,4509767
797,417250,4509880
798,418575,4509678
799,419482,4509644
800,420226,4509644
801,421372,4509974
802,421151,4509071
803,421733,4509289
804,422447,4510049
805,423320,4510044
806,422747,4509158
807,423416,4509124
808,413195,4508190
809,413177,4507431
810,413160,4506750
811,413149,4506041
812,414150,4508190
813,415961,4508496
814,415534,4507757
815,416440,4507694
816,417112,4507953
817,414114,4506855
818,414642,4506556
819,415865,4506728
820,416987,4506554
821,417852,4507895
822,418657,4507844
823,419282,4507959
824,417325,4506743
825,417855,4506757
826,418738,4506797
827,419261,4506797
828,417335,4505963
829,417872,4505966
830,418601,4505932
831,419251,4505910
832,419955,4508027
833,419825,4506899
834,420546,4507422
835,420367,4506745
836,419736,4505960
837,420285,4505915
838,421375,4508170
839,420923,4506818
840,421604,4507003
841,420960,4505910
842,422284,4507591
843,422760,4507696
844,423415,4507688
845,422208,4506336
846,423125,4506244
847,413902,4506036
848,414615,4505986
849,413117,4504716
850,413829,4504776
851,414656,4504744
852,415763,4505970
853,416929,4505988
854,415439,4505270
855,416265,4505166
856,416892,4505057
857,415413,4504439
858,416211,4504377
859,416896,4504371
860,417253,4505095
861,417834,4505175
862,417228,4504392
863,417827,4504388
864,418607,4505337
865,418644,4504869
866,419292,4505083
867,418618,4504295
868,419304,4504357
869,419745,4505131
870,420264,4505131
871,419721,4504325
872,420245,4504311
873,421103,4504873
874,421771,4504997
875,422597,4505095
876,423414,4505103
877,423153,4504043
878,413106,4503371
879,413579,4503253
880,414490,4503746
881,414233,4503382
882,414383,4502754
883,415330,4503328
884,415409,4502587
885,415947,4503670
886,416281,4502924
887,416830,4503264
888,417181,4503123
889,417804,4503547
890,417796,4502715
891,418636,4503468
892,418614,4502707
893,419289,4503072
894,419712,4503587
895,420227,4503355
896,419715,4502732
897,420224,4502749
898,420993,4502951
899,422177,4503606
900,421259,4502160
901,422509,4502474
902,423396,4503354
903,423594,4502530
904,423655,4501937
905,423558,4501064
906,412964,4502551
907,412629,4501611
908,413784,4501621
909,414051,4500931
910,414335,4501982
911,415095,4501528
912,415972,4501493
913,416733,4501541
914,417231,4501896
915,417201,4501106
916,417835.01648,4501696.23858
917,417679.15505,4501026.61173
918,418498,4501100
919,418710,4501800
920,419205,4501505
921,419628,4501493
922,420233,4501478
923,419941,4500360
924,420425,4500253
925,420916,4501283
926,421774,4501374
927,421031,4500281
928,421614,4500073
929,422815,4501210
930,422269,4500405
931,422543,4499567
932,423346,4500134
933,412660,4499992
934,413739,4500022
935,414518,4499917
936,415764,4500353
937,415950,4499527
938,416934,4499977
939,417763,4500015
940,418615,4499955
941,419400,4499753
942,420176,4499388
943,420987,4499342
944,423314,4513678
945,423161,4513259
946,423476,4513343
947,423073,4512819
948,423461,4512833
949,423697,4513532
950,423945,4513661
951,424191,4513663
952,423945,4513421
953,424188,4513411
954,424417,4513415
955,423694,4513184
956,423945,4513176
957,424180,4513173
958,423688,4512819
959,423946,4512913
960,424181,4512933
961,424417,4512933
962,423939,4512697
963,424181,4512690
964,424415,4512695
965,424424,4513655
966,424795,4513648
967,425398,4513690
968,424671,4513407
969,424904,4513409
970,425160,4513407
971,424673,4513180
972,424906,4513173
973,425161,4513176
974,424668,4512933
975,424904,4512933
976,425172,4512930
977,424670,4512690
978,424906,4512687
979,425160,4512685
980,424671,4512434
981,424907,4512434
982,425160,4512434
983,425383,4513405
984,425634,4513405
985,425386,4513176
986,425634,4513176
987,425388,4512926
988,425629,4512923
989,425388,4512687
990,425629,4512692
991,423231,4512422
992,423386,4511751
993,423702,4512450
994,423934,4512459
995,424172,4512456
996,424416,4512450
997,423700,4512208
998,423935,4512215
999,424172,4512209
1000,424416,4512206
1001,424664,4512212
1002,424910,4512208
1003,423694,4511976
1004,423935,4511970
1005,424175,4511964
1006,424405,4511966
1007,424648,4511960
1008,424901,4511965
1009,423687,4511624
1010,423935,4511624
1011,424173,4511624
1012,424426,4511619
1013,424649,4511619
1014,424892,4511624
1015,425389,4512434
1016,425622,4512442
1017,425168,4512205
1018,425373,4512196
1019,425622,4512191
1020,425142,4511958
1021,425368,4511945
1022,425624,4511946
1023,425145,4511619
1024,425383,4511609
1025,425610,4511589
1026,422371,4517653
1027,423190,4516059
1028,423979,4515370
1029,423193,4518039
1030,426390,4517939
1031,425037,4514996
1032,427352,4516071
1033,429042,4516319
1034,423379,4514035
1035,423721,4514022
1036,423396,4514641
1037,423704,4514624
1038,423957,4514585
1039,424242,4515559
1040,424204,4514633
1041,424691,4514607
1042,425072,4514483
1043,424525,4514041
1044,424968,4514023
1045,425472,4515000
1046,426208,4514875
1047,426761,4514911
1048,425679,4514490
1049,426217,4514489
1050,426698,4514479
1051,425419,4514142
1052,426196,4514091
1053,426129,4513706
1054,426754,4514126
1055,427545,4514319
1056,428450,4514056
1057,426736,4513701
1058,427329,4513708
1059,427785,4513711
1060,425875,4513393
1061,426242,4513394
1062,425870,4513167
1063,426237,4513164
1064,425870,4512918
1065,426236,4512914
1066,425869,4512689
1067,426235,4512666
1068,426726,4513315
1069,426721,4512907
1070,426720,4512674
1071,427427,4513299
1072,427878,4513246
1073,427448,4512851
